dataset,kalofolias,nnk,nn,label_prop_test
ESC-50,False,False,5,59.01
ESC-50,False,False,10,58.05
ESC-50,False,False,20,56.21
ESC-50,False,False,30,54.46
ESC-50,False,False,40,52.73
ESC-50,False,False,50,51.23
ESC-50,False,False,100,45.63
ESC-50,False,False,200,36.25
ESC-50,False,False,500,5.52
ESC-50,False,False,1000,2.79
ESC-50,False,True,5,42.24
ESC-50,False,True,10,55.52
ESC-50,False,True,20,57.57
ESC-50,False,True,30,56.29
ESC-50,False,True,40,54.64
ESC-50,False,True,50,53.19
ESC-50,False,True,100,48.76
ESC-50,False,True,200,43.85
ESC-50,False,True,500,36.29
ESC-50,False,True,1000,16.57
ESC-50,True,False,5,42.68
ESC-50,True,False,10,52.74
ESC-50,True,False,20,58.05
ESC-50,True,False,30,59.16
ESC-50,True,False,40,59.04
ESC-50,True,False,50,58.65
ESC-50,True,False,100,56.87
ESC-50,True,False,200,53.84
ESC-50,True,False,500,48.74
ESC-50,True,False,1000,39.05
cora,False,False,5,57.7
cora,False,False,10,58.67
cora,False,False,20,58.1
cora,False,False,30,57.96
cora,False,False,40,57.73
cora,False,False,50,57.53
cora,False,False,100,55.24
cora,False,False,200,50.23
cora,False,False,500,37.97
cora,False,False,1000,25.58
cora,False,True,5,37.9
cora,False,True,10,53.41
cora,False,True,20,58.16
cora,False,True,30,59.1
cora,False,True,40,59.1
cora,False,True,50,58.45
cora,False,True,100,57.14
cora,False,True,200,54.13
cora,False,True,500,45.99
cora,False,True,1000,32.99
cora,True,False,30,54.05
cora,True,False,40,56.51
cora,True,False,50,57.71
cora,True,False,100,58.6
cora,True,False,200,58.01
cora,True,False,500,43.2
cora,True,False,1000,34.76
flowers102,False,False,5,36.19
flowers102,False,False,10,34.94
flowers102,False,False,20,31.09
flowers102,False,False,30,28.45
flowers102,False,False,40,26.71
flowers102,False,False,50,25.5
flowers102,False,False,100,21.01
flowers102,False,False,200,12.31
flowers102,False,False,500,2.07
flowers102,False,False,1000,4.81
flowers102,False,True,5,26.38
flowers102,False,True,10,32.16
flowers102,False,True,20,32.73
flowers102,False,True,30,31.74
flowers102,False,True,40,30.05
flowers102,False,True,50,28.9
flowers102,False,True,100,25.25
flowers102,False,True,200,21.94
flowers102,False,True,500,17.14
flowers102,False,True,1000,5.92
flowers102,True,False,5,33.78
flowers102,True,False,10,36.74
flowers102,True,False,20,37.01
flowers102,True,False,30,36.4
flowers102,True,False,40,35.79
flowers102,True,False,50,35.22
flowers102,True,False,100,32.91
flowers102,True,False,200,30.6
flowers102,True,False,500,28.65
flowers102,True,False,1000,18.73
