dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,label_prop_train,label_prop_test,label_prop_train_std,label_prop_test_std
flowers102,kalofolias,True,5,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,5,None,False,True,False,100.0,1.041394335511983,0.0,0.32655037869166076
flowers102,kalofolias,True,5,BothSides,False,True,True,100.0,33.66557734204793,0.0,1.611344573509006
flowers102,kalofolias,True,5,BothSides,False,True,False,100.0,33.77886710239652,0.0,1.5620394670202404
flowers102,kalofolias,True,50,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,50,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,50,BothSides,False,True,True,100.0,34.96949891067539,0.0,1.6302047730896505
flowers102,kalofolias,True,50,BothSides,False,True,False,100.0,35.22113289760348,0.0,1.5959297166158473
flowers102,kalofolias,True,500,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,500,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,500,BothSides,False,True,True,100.0,28.627450980392158,0.0,1.5021624554194513
flowers102,kalofolias,True,500,BothSides,False,True,False,100.0,28.654684095860574,0.0,1.4393416473195235
flowers102,kalofolias,True,40,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,40,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,40,BothSides,False,True,True,100.0,35.50326797385622,0.0,1.60287593781237
flowers102,kalofolias,True,40,BothSides,False,True,False,100.0,35.78976034858388,0.0,1.6097236318160288
flowers102,kalofolias,True,30,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,30,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,30,BothSides,False,True,True,100.0,36.1437908496732,0.0,1.569459353358414
flowers102,kalofolias,True,30,BothSides,False,True,False,100.0,36.39869281045752,0.0,1.6226929949483937
flowers102,kalofolias,True,20,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,20,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,20,BothSides,False,True,True,100.0,36.811546840958606,0.0,1.6750295689179053
flowers102,kalofolias,True,20,BothSides,False,True,False,100.0,37.014161220043576,0.0,1.660589186975486
flowers102,kalofolias,True,200,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,200,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,200,BothSides,False,True,True,100.0,30.53050108932462,0.0,1.476254314856399
flowers102,kalofolias,True,200,BothSides,False,True,False,100.0,30.595860566448806,0.0,1.5205079287463377
flowers102,kalofolias,True,10,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,10,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,10,BothSides,False,True,True,100.0,36.58605664488018,0.0,1.622912361382948
flowers102,kalofolias,True,10,BothSides,False,True,False,100.0,36.73856209150327,0.0,1.6433009776373122
flowers102,kalofolias,True,100,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,100,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,100,BothSides,False,True,True,100.0,32.69934640522876,0.0,1.535861182067902
flowers102,kalofolias,True,100,BothSides,False,True,False,100.0,32.911764705882355,0.0,1.598871400434513
flowers102,kalofolias,True,1000,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,1000,None,False,True,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,True,1000,BothSides,False,True,True,100.0,17.52505446623094,0.0,2.2986184634436304
flowers102,kalofolias,True,1000,BothSides,False,True,False,100.0,18.727668845315907,0.0,2.3004967927023605
flowers102,kalofolias,False,5,None,False,True,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,kalofolias,False,5,None,False,True,False,100.0,1.041394335511983,0.0,0.32655037869166076
