dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,acc_train,acc_train_std,acc_test,acc_test_std
flowers102,kalofolias,True,5,None,False,True,True,100.0,0.0,37.18736383442266,1.5391335799997634
flowers102,kalofolias,True,5,None,False,True,False,98.97058823529413,0.9236001804616075,34.472766884531595,1.5987797402958759
flowers102,kalofolias,True,5,BothSides,False,True,True,100.0,0.0,36.12200435729848,1.6572777250933741
flowers102,kalofolias,True,5,BothSides,False,True,False,99.92156862745098,0.26597372482843906,33.64052287581699,1.594242861621381
flowers102,kalofolias,True,50,None,False,True,True,100.0,0.0,33.38779956427016,1.7018235116049194
flowers102,kalofolias,True,50,None,False,True,False,99.80392156862744,0.39215686274509387,30.388888888888893,1.6871844977280324
flowers102,kalofolias,True,50,BothSides,False,True,True,99.99019607843137,0.09754778795162837,32.956427015250554,1.7292094222794776
flowers102,kalofolias,True,50,BothSides,False,True,False,98.66666666666669,1.023747253506403,30.59259259259259,1.7282690372270353
flowers102,kalofolias,True,500,None,False,True,True,12.372549019607845,2.8339269342225655,5.37037037037037,0.9157456502364713
flowers102,kalofolias,True,500,None,False,True,False,8.098039215686276,1.9735856629720465,4.449891067538127,0.9764353704789976
flowers102,kalofolias,True,500,BothSides,False,True,True,97.57843137254902,1.274170392211766,17.92265795206972,1.3535229892807419
flowers102,kalofolias,True,500,BothSides,False,True,False,83.24509803921568,3.012517139465091,13.342047930283224,1.1942376634938177
flowers102,kalofolias,True,40,None,False,True,True,100.0,0.0,34.56318082788671,1.7428033049576792
flowers102,kalofolias,True,40,None,False,True,False,99.89215686274511,0.30675466366984017,31.867102396514166,1.7769966565382251
flowers102,kalofolias,True,40,BothSides,False,True,True,99.99019607843137,0.09754778795162837,33.913943355119834,1.725681023646071
flowers102,kalofolias,True,40,BothSides,False,True,False,99.10784313725489,0.9310629000226247,31.918300653594773,1.745198333076016
flowers102,kalofolias,True,30,None,False,True,True,100.0,0.0,35.6644880174292,1.7620814827459568
flowers102,kalofolias,True,30,None,False,True,False,99.94117647058823,0.23283023700074099,33.55882352941177,1.8535334541063535
flowers102,kalofolias,True,30,BothSides,False,True,True,100.0,0.0,34.90631808278868,1.7030655910119095
flowers102,kalofolias,True,30,BothSides,False,True,False,99.55882352941177,0.6410145505206856,33.36492374727669,1.821244889084912
flowers102,kalofolias,True,20,None,False,True,True,100.0,0.0,36.855119825708066,1.7156122680030548
flowers102,kalofolias,True,20,None,False,True,False,99.93137254901961,0.2501441337680968,35.19172113289761,1.8340047340370902
flowers102,kalofolias,True,20,BothSides,False,True,True,100.0,0.0,35.99455337690632,1.7101532664860242
flowers102,kalofolias,True,20,BothSides,False,True,False,99.81372549019608,0.43170664424125255,34.93899782135076,1.855348486631143
