dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,ami,ari,nmi
flowers102,kalofolias,True,5,None,False,True,True,42.60109982244401,24.606720693261202,70.12349725069235
flowers102,kalofolias,True,5,None,False,True,False,42.60109982244401,24.606720693261202,70.12349725069235
flowers102,kalofolias,True,5,BothSides,False,True,True,41.71551432369167,24.079255629283526,69.79851614059437
flowers102,kalofolias,True,5,BothSides,False,True,False,42.10300464878368,25.06783150377633,70.02626796835875
flowers102,kalofolias,True,50,None,False,True,True,42.487040609110736,28.88275032029823,71.36140895186965
flowers102,kalofolias,True,50,None,False,True,False,42.487040609110736,28.88275032029823,71.36140895186965
flowers102,kalofolias,True,50,BothSides,False,True,True,42.887228812257725,29.054314575139546,71.44220452536335
flowers102,kalofolias,True,50,BothSides,False,True,False,43.172569554119484,29.185873198821543,71.531505119186
flowers102,kalofolias,True,500,None,False,True,True,39.25695307625094,25.128900156359755,68.7673572461621
flowers102,kalofolias,True,500,None,False,True,False,39.25695307625094,25.128900156359755,68.7673572461621
flowers102,kalofolias,True,500,BothSides,False,True,True,36.95062422494757,23.25462742531671,67.83309506649734
flowers102,kalofolias,True,500,BothSides,False,True,False,37.95492038839149,24.175437818655503,68.48283593505764
flowers102,kalofolias,True,40,None,False,True,True,41.784668536896966,27.45533688300974,70.85380722136969
flowers102,kalofolias,True,40,None,False,True,False,41.784668536896966,27.45533688300974,70.85380722136969
flowers102,kalofolias,True,40,BothSides,False,True,True,42.932239268141856,28.686145289460946,71.45944100667687
flowers102,kalofolias,True,40,BothSides,False,True,False,43.46503125763444,28.85002483859862,71.77608904056089
flowers102,kalofolias,True,30,None,False,True,True,43.21070104450914,28.202175283575382,71.62860882978947
flowers102,kalofolias,True,30,None,False,True,False,43.21070104450914,28.202175283575382,71.62860882978947
flowers102,kalofolias,True,30,BothSides,False,True,True,42.83147377533297,27.897545847414378,71.42498254501407
flowers102,kalofolias,True,30,BothSides,False,True,False,42.32831193765902,27.428600848255563,71.24055475862583
flowers102,kalofolias,True,20,None,False,True,True,43.614141969456824,27.710023838176618,71.67260866756816
flowers102,kalofolias,True,20,None,False,True,False,43.614141969456824,27.710023838176618,71.67260866756816
flowers102,kalofolias,True,20,BothSides,False,True,True,43.923616282681856,28.4054544318901,71.80620829275917
flowers102,kalofolias,True,20,BothSides,False,True,False,44.25992284362293,28.675007126420464,72.13291568592214
flowers102,kalofolias,True,200,None,False,True,True,39.823361094476745,25.23594189868687,69.48205965291918
flowers102,kalofolias,True,200,None,False,True,False,39.823361094476745,25.23594189868687,69.48205965291918
flowers102,kalofolias,True,200,BothSides,False,True,True,40.17729410245507,25.64120445416023,69.65039094636772
flowers102,kalofolias,True,200,BothSides,False,True,False,38.5563401106446,24.849957188800925,68.99383945463016
flowers102,kalofolias,True,10,None,False,True,True,43.954307808842564,27.780772380850443,71.688367722609
flowers102,kalofolias,True,10,None,False,True,False,43.954307808842564,27.780772380850443,71.688367722609
flowers102,kalofolias,True,10,BothSides,False,True,True,43.824472689631676,27.223642778507735,71.53926393276764
flowers102,kalofolias,True,10,BothSides,False,True,False,42.417317526543414,26.429636679492173,70.81501003050231
flowers102,kalofolias,True,100,None,False,True,True,40.76008190525759,25.95423746557141,70.14131745801208
flowers102,kalofolias,True,100,None,False,True,False,40.76008190525759,25.95423746557141,70.14131745801208
flowers102,kalofolias,True,100,BothSides,False,True,True,40.69678031318377,26.108010796657354,69.94990604188206
flowers102,kalofolias,True,100,BothSides,False,True,False,40.82806827347259,26.432607971335653,70.08715651643011
flowers102,kalofolias,True,1000,None,False,True,True,36.391345696096,24.16075846472706,67.73345624061898
flowers102,kalofolias,True,1000,None,False,True,False,36.391345696096,24.16075846472706,67.73345624061898
flowers102,kalofolias,True,1000,BothSides,False,True,True,35.51163592849982,22.072017106061175,67.27072458522196
flowers102,kalofolias,True,1000,BothSides,False,True,False,36.00953891010808,22.453219427356167,67.58050637767286
flowers102,kalofolias,False,5,None,False,True,True,42.60109982244401,24.606720693261202,70.12349725069235
flowers102,kalofolias,False,5,None,False,True,False,42.60109982244401,24.606720693261202,70.12349725069235
flowers102,kalofolias,False,5,BothSides,False,True,True,41.71551432369167,24.079255629283526,69.79851614059437
flowers102,kalofolias,False,5,BothSides,False,True,False,42.10300464878368,25.06783150377633,70.02626796835875
flowers102,kalofolias,False,50,None,False,True,True,42.487040609110736,28.88275032029823,71.36140895186965
flowers102,kalofolias,False,50,None,False,True,False,42.487040609110736,28.88275032029823,71.36140895186965
flowers102,kalofolias,False,50,BothSides,False,True,True,42.887228812257725,29.054314575139546,71.44220452536335
flowers102,kalofolias,False,50,BothSides,False,True,False,43.172569554119484,29.185873198821543,71.531505119186
flowers102,kalofolias,False,500,None,False,True,True,39.25695307625094,25.128900156359755,68.7673572461621
flowers102,kalofolias,False,500,None,False,True,False,39.25695307625094,25.128900156359755,68.7673572461621
flowers102,kalofolias,False,500,BothSides,False,True,True,36.95062422494757,23.25462742531671,67.83309506649734
flowers102,kalofolias,False,500,BothSides,False,True,False,37.95492038839149,24.175437818655503,68.48283593505764
flowers102,kalofolias,False,40,None,False,True,True,41.784668536896966,27.45533688300974,70.85380722136969
flowers102,kalofolias,False,40,None,False,True,False,41.784668536896966,27.45533688300974,70.85380722136969
flowers102,kalofolias,False,40,BothSides,False,True,True,42.932239268141856,28.686145289460946,71.45944100667687
flowers102,kalofolias,False,40,BothSides,False,True,False,43.46503125763444,28.85002483859862,71.77608904056089
flowers102,kalofolias,False,30,None,False,True,True,43.21070104450914,28.202175283575382,71.62860882978947
flowers102,kalofolias,False,30,None,False,True,False,43.21070104450914,28.202175283575382,71.62860882978947
flowers102,kalofolias,False,30,BothSides,False,True,True,42.83147377533297,27.897545847414378,71.42498254501407
flowers102,kalofolias,False,30,BothSides,False,True,False,42.32831193765902,27.428600848255563,71.24055475862583
flowers102,kalofolias,False,20,None,False,True,True,43.614141969456824,27.710023838176618,71.67260866756816
flowers102,kalofolias,False,20,None,False,True,False,43.614141969456824,27.710023838176618,71.67260866756816
flowers102,kalofolias,False,20,BothSides,False,True,True,43.923616282681856,28.4054544318901,71.80620829275917
flowers102,kalofolias,False,20,BothSides,False,True,False,44.25992284362293,28.675007126420464,72.13291568592214
flowers102,kalofolias,False,200,None,False,True,True,39.823361094476745,25.23594189868687,69.48205965291918
flowers102,kalofolias,False,200,None,False,True,False,39.823361094476745,25.23594189868687,69.48205965291918
flowers102,kalofolias,False,200,BothSides,False,True,True,40.17729410245507,25.64120445416023,69.65039094636772
flowers102,kalofolias,False,200,BothSides,False,True,False,38.5563401106446,24.849957188800925,68.99383945463016
flowers102,kalofolias,False,10,None,False,True,True,43.954307808842564,27.780772380850443,71.688367722609
flowers102,kalofolias,False,10,None,False,True,False,43.954307808842564,27.780772380850443,71.688367722609
flowers102,kalofolias,False,10,BothSides,False,True,True,43.824472689631676,27.223642778507735,71.53926393276764
flowers102,kalofolias,False,10,BothSides,False,True,False,42.417317526543414,26.429636679492173,70.81501003050231
flowers102,kalofolias,False,100,None,False,True,True,40.76008190525759,25.95423746557141,70.14131745801208
flowers102,kalofolias,False,100,None,False,True,False,40.76008190525759,25.95423746557141,70.14131745801208
flowers102,kalofolias,False,100,BothSides,False,True,True,40.69678031318377,26.108010796657354,69.94990604188206
flowers102,kalofolias,False,100,BothSides,False,True,False,40.82806827347259,26.432607971335653,70.08715651643011
flowers102,kalofolias,False,1000,None,False,True,True,36.391345696096,24.16075846472706,67.73345624061898
flowers102,kalofolias,False,1000,None,False,True,False,36.391345696096,24.16075846472706,67.73345624061898
flowers102,kalofolias,False,1000,BothSides,False,True,True,35.51163592849982,22.072017106061175,67.27072458522196
flowers102,kalofolias,False,1000,BothSides,False,True,False,36.00953891010808,22.453219427356167,67.58050637767286
flowers102,RBF,True,5,None,True,False,True,27.435738171331746,4.968452539307649,58.73112921536604
flowers102,RBF,True,5,None,True,False,False,26.80381464583087,4.672854808669461,58.06753461233739
