dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,ami,ari,nmi
flowers102,kalofolias,True,5,None,False,True,True,38.644851487483436,9.291836170591417,64.85718265712576
flowers102,kalofolias,True,5,None,False,True,False,38.644851487483436,9.291836170591417,64.85718265712576
flowers102,kalofolias,True,5,BothSides,False,True,True,38.788237800650464,8.625567175356727,65.14616866128816
flowers102,kalofolias,True,5,BothSides,False,True,False,38.37660071650005,7.1084115477394345,64.84693089239852
flowers102,kalofolias,True,50,None,False,True,True,39.68084108269887,21.814790053967165,68.77302830119199
flowers102,kalofolias,True,50,None,False,True,False,39.68084108269887,21.814790053967165,68.77302830119199
flowers102,kalofolias,True,50,BothSides,False,True,True,39.36899694629053,23.17725927187847,68.97415493736196
flowers102,kalofolias,True,50,BothSides,False,True,False,39.65851295702539,21.118943449315868,68.87502495837674
flowers102,kalofolias,True,500,None,False,True,True,31.8376241455109,12.681607740844896,61.15732754476477
flowers102,kalofolias,True,500,None,False,True,False,31.8376241455109,12.681607740844896,61.15732754476477
flowers102,kalofolias,True,500,BothSides,False,True,True,34.79871192702853,15.288730539091459,64.20142918411953
flowers102,kalofolias,True,500,BothSides,False,True,False,34.56144769327971,16.3853321538691,64.7919456965078
flowers102,kalofolias,True,40,None,False,True,True,39.454141198180835,16.67913230660138,68.1301591359758
flowers102,kalofolias,True,40,None,False,True,False,39.454141198180835,16.67913230660138,68.1301591359758
flowers102,kalofolias,True,40,BothSides,False,True,True,40.464844500309965,21.428419547680015,69.17928969287644
flowers102,kalofolias,True,40,BothSides,False,True,False,39.80023220180195,21.88398144294193,69.01527440563761
flowers102,kalofolias,True,30,None,False,True,True,39.786229278485244,17.603520300796443,68.06913204453168
flowers102,kalofolias,True,30,None,False,True,False,39.786229278485244,17.603520300796443,68.06913204453168
flowers102,kalofolias,True,30,BothSides,False,True,True,40.397543089727804,22.449787565710594,69.21434452684893
flowers102,kalofolias,True,30,BothSides,False,True,False,39.53709327712043,20.552818095178726,68.69312102535285
flowers102,kalofolias,True,20,None,False,True,True,39.72497040872553,14.076285081877854,67.5087400474861
flowers102,kalofolias,True,20,None,False,True,False,39.72497040872553,14.076285081877854,67.5087400474861
flowers102,kalofolias,True,20,BothSides,False,True,True,40.23855416958797,19.004853019713266,68.5120669694841
flowers102,kalofolias,True,20,BothSides,False,True,False,40.583812173759,18.99802919937793,68.86045205436713
flowers102,kalofolias,True,200,None,False,True,True,35.58041613807729,18.002591979840602,65.78091392127426
flowers102,kalofolias,True,200,None,False,True,False,35.58041613807729,18.002591979840602,65.78091392127426
flowers102,kalofolias,True,200,BothSides,False,True,True,37.49238297261371,19.24079173902847,66.9190734845871
flowers102,kalofolias,True,200,BothSides,False,True,False,36.236625256081126,20.03197695668342,67.1383239049806
flowers102,kalofolias,True,10,None,False,True,True,40.3654982217371,14.561179881577486,67.55183702726323
flowers102,kalofolias,True,10,None,False,True,False,40.3654982217371,14.561179881577486,67.55183702726323
flowers102,kalofolias,True,10,BothSides,False,True,True,40.226076412995134,15.920273377969504,67.82415126883105
flowers102,kalofolias,True,10,BothSides,False,True,False,41.61146383993213,17.468533390956036,68.73410055773927
flowers102,kalofolias,True,100,None,False,True,True,39.03063683009111,22.880727740433755,68.64217290578011
flowers102,kalofolias,True,100,None,False,True,False,39.03063683009111,22.880727740433755,68.64217290578011
flowers102,kalofolias,True,100,BothSides,False,True,True,38.40109798715741,22.563683582347494,68.77724561115754
flowers102,kalofolias,True,100,BothSides,False,True,False,39.49079207970778,23.11457996786442,69.10999214363962
flowers102,kalofolias,True,1000,None,False,True,True,33.047436838917136,16.873578653266648,63.61592721157049
flowers102,kalofolias,True,1000,None,False,True,False,33.047436838917136,16.873578653266648,63.61592721157049
flowers102,kalofolias,True,1000,BothSides,False,True,True,33.72208321383185,16.82662775889187,64.0585734872858
flowers102,kalofolias,True,1000,BothSides,False,True,False,34.46113615017845,17.43943715977419,64.82241262430381
flowers102,kalofolias,False,5,None,False,True,True,38.644851487483436,9.291836170591417,64.85718265712576
flowers102,kalofolias,False,5,None,False,True,False,38.644851487483436,9.291836170591417,64.85718265712576
flowers102,kalofolias,False,5,BothSides,False,True,True,38.788237800650464,8.625567175356727,65.14616866128816
flowers102,kalofolias,False,5,BothSides,False,True,False,38.37660071650005,7.1084115477394345,64.84693089239852
flowers102,kalofolias,False,50,None,False,True,True,39.68084108269887,21.814790053967165,68.77302830119199
flowers102,kalofolias,False,50,None,False,True,False,39.68084108269887,21.814790053967165,68.77302830119199
flowers102,kalofolias,False,50,BothSides,False,True,True,39.36899694629053,23.17725927187847,68.97415493736196
flowers102,kalofolias,False,50,BothSides,False,True,False,39.65851295702539,21.118943449315868,68.87502495837674
flowers102,kalofolias,False,500,None,False,True,True,31.8376241455109,12.681607740844896,61.15732754476477
flowers102,kalofolias,False,500,None,False,True,False,31.8376241455109,12.681607740844896,61.15732754476477
flowers102,kalofolias,False,500,BothSides,False,True,True,34.79871192702853,15.288730539091459,64.20142918411953
flowers102,kalofolias,False,500,BothSides,False,True,False,34.56144769327971,16.3853321538691,64.7919456965078
flowers102,kalofolias,False,40,None,False,True,True,39.454141198180835,16.67913230660138,68.1301591359758
flowers102,kalofolias,False,40,None,False,True,False,39.454141198180835,16.67913230660138,68.1301591359758
flowers102,kalofolias,False,40,BothSides,False,True,True,40.464844500309965,21.428419547680015,69.17928969287644
flowers102,kalofolias,False,40,BothSides,False,True,False,39.80023220180195,21.88398144294193,69.01527440563761
flowers102,kalofolias,False,30,None,False,True,True,39.786229278485244,17.603520300796443,68.06913204453168
flowers102,kalofolias,False,30,None,False,True,False,39.786229278485244,17.603520300796443,68.06913204453168
flowers102,kalofolias,False,30,BothSides,False,True,True,40.397543089727804,22.449787565710594,69.21434452684893
flowers102,kalofolias,False,30,BothSides,False,True,False,39.53709327712043,20.552818095178726,68.69312102535285
flowers102,kalofolias,False,20,None,False,True,True,39.72497040872553,14.076285081877854,67.5087400474861
flowers102,kalofolias,False,20,None,False,True,False,39.72497040872553,14.076285081877854,67.5087400474861
flowers102,kalofolias,False,20,BothSides,False,True,True,40.23855416958797,19.004853019713266,68.5120669694841
flowers102,kalofolias,False,20,BothSides,False,True,False,40.583812173759,18.99802919937793,68.86045205436713
flowers102,kalofolias,False,200,None,False,True,True,35.58041613807729,18.002591979840602,65.78091392127426
flowers102,kalofolias,False,200,None,False,True,False,35.58041613807729,18.002591979840602,65.78091392127426
flowers102,kalofolias,False,200,BothSides,False,True,True,37.49238297261371,19.24079173902847,66.9190734845871
flowers102,kalofolias,False,200,BothSides,False,True,False,36.236625256081126,20.03197695668342,67.1383239049806
flowers102,kalofolias,False,10,None,False,True,True,40.3654982217371,14.561179881577486,67.55183702726323
flowers102,kalofolias,False,10,None,False,True,False,40.3654982217371,14.561179881577486,67.55183702726323
flowers102,kalofolias,False,10,BothSides,False,True,True,40.226076412995134,15.920273377969504,67.82415126883105
flowers102,kalofolias,False,10,BothSides,False,True,False,41.61146383993213,17.468533390956036,68.73410055773927
flowers102,kalofolias,False,100,None,False,True,True,39.03063683009111,22.880727740433755,68.64217290578011
flowers102,kalofolias,False,100,None,False,True,False,39.03063683009111,22.880727740433755,68.64217290578011
flowers102,kalofolias,False,100,BothSides,False,True,True,38.40109798715741,22.563683582347494,68.77724561115754
flowers102,kalofolias,False,100,BothSides,False,True,False,39.49079207970778,23.11457996786442,69.10999214363962
flowers102,kalofolias,False,1000,None,False,True,True,33.047436838917136,16.873578653266648,63.61592721157049
flowers102,kalofolias,False,1000,None,False,True,False,33.047436838917136,16.873578653266648,63.61592721157049
flowers102,kalofolias,False,1000,BothSides,False,True,True,33.72208321383185,16.82662775889187,64.0585734872858
flowers102,kalofolias,False,1000,BothSides,False,True,False,34.46113615017845,17.43943715977419,64.82241262430381
flowers102,RBF,True,5,None,True,False,True,19.065276333915502,0.935682279308187,48.98110092844063
flowers102,RBF,True,5,None,True,False,False,16.16975014197357,0.7216650990267912,47.00630779102598
flowers102,RBF,True,5,None,False,False,True,39.236937350202275,20.76999800628019,69.21502777329653
flowers102,RBF,True,5,None,False,False,False,39.236937350202275,20.76999800628019,69.21502777329653
flowers102,RBF,True,5,BothSides,True,False,True,19.772046490969405,0.93668443214138,49.90520891803721
flowers102,RBF,True,5,BothSides,True,False,False,24.820010347189278,1.410446844493502,54.11298194521563
flowers102,RBF,True,5,BothSides,False,False,True,39.194785950407066,18.145634516770016,69.10919875476664
flowers102,RBF,True,5,BothSides,False,False,False,39.814829209496715,19.050707107151812,69.4623088640192
flowers102,RBF,True,50,None,True,False,True,17.57999121050314,0.9827679429796063,45.04008543486915
flowers102,RBF,True,50,None,True,False,False,17.57999121050314,0.9827679429796063,45.04008543486915
flowers102,RBF,True,50,None,False,False,True,31.917936856825108,10.523792179036237,62.77453629450979
flowers102,RBF,True,50,None,False,False,False,31.917936856825108,10.523792179036237,62.77453629450979
flowers102,RBF,True,50,BothSides,True,False,True,33.849844099839906,8.343760232379442,60.58833314663982
flowers102,RBF,True,50,BothSides,True,False,False,34.20760474961298,8.63349745485927,61.047545140094414
flowers102,RBF,True,50,BothSides,False,False,True,33.44381304492802,11.029989742227476,63.710000349270445
flowers102,RBF,True,50,BothSides,False,False,False,31.495364364709456,12.53912156848739,63.422274406377625
flowers102,RBF,True,500,None,True,False,True,3.730338033006108,0.15150591185287268,24.679176341400147
flowers102,RBF,True,500,None,True,False,False,3.730338033006108,0.15150591185287268,24.679176341400147
flowers102,RBF,True,500,None,False,False,True,7.153551973212751,0.6040633575839838,30.45283858331947
flowers102,RBF,True,500,None,False,False,False,7.153551973212751,0.6040633575839838,30.45283858331947
flowers102,RBF,True,500,BothSides,True,False,True,17.747942753908912,2.261338313852367,39.629424893256434
flowers102,RBF,True,500,BothSides,True,False,False,15.377513916807995,1.2981426900568989,39.187349036101615
flowers102,RBF,True,500,BothSides,False,False,True,7.926459851334672,0.8092583152537846,31.306185247911145
flowers102,RBF,True,500,BothSides,False,False,False,7.266383518177447,0.7893385744767031,32.17296887339203
flowers102,RBF,True,40,None,True,False,True,18.84731610324565,0.9804978396113125,47.81690575542356
flowers102,RBF,True,40,None,True,False,False,18.84731610324565,0.9804978396113125,47.81690575542356
flowers102,RBF,True,40,None,False,False,True,33.521056922643616,13.442521898356977,65.08648558353221
flowers102,RBF,True,40,None,False,False,False,33.521056922643616,13.442521898356977,65.08648558353221
flowers102,RBF,True,40,BothSides,True,False,True,35.005941705131164,9.393363833733684,62.145666069628945
flowers102,RBF,True,40,BothSides,True,False,False,34.89612858851745,8.346514526037124,61.737499295087176
flowers102,RBF,True,40,BothSides,False,False,True,32.830729183604994,12.888103922209126,64.71850924831631
flowers102,RBF,True,40,BothSides,False,False,False,34.715887078734525,14.442293525591168,65.55500853116658
flowers102,RBF,True,30,None,True,False,True,31.928044645672195,5.772249043651549,59.19657714873227
flowers102,RBF,True,30,None,True,False,False,31.928044645672195,5.772249043651549,59.19657714873227
flowers102,RBF,True,30,None,False,False,True,33.19836518628661,12.167587170487216,64.73590933990164
flowers102,RBF,True,30,None,False,False,False,33.19836518628661,12.167587170487216,64.73590933990164
flowers102,RBF,True,30,BothSides,True,False,True,35.26839403092429,9.211200756085477,62.2955109091433
flowers102,RBF,True,30,BothSides,True,False,False,35.33955103726427,10.094278471565136,62.72522571559571
flowers102,RBF,True,30,BothSides,False,False,True,35.56726375181766,15.352987216908891,66.6055974734171
flowers102,RBF,True,30,BothSides,False,False,False,35.064391672221994,13.37227030138691,66.02026833602248
flowers102,RBF,True,20,None,True,False,True,25.29406176346351,1.9386084254106544,54.45653485290004
